time,velocity_smooth,heartrate,cadence
0,0,86,69
5,0,86,69
10,0,88,75
15,0,90,82
20,0,93,82
25,0,93,82
30,0,95,82
35,0,95,82
40,0,97,82
45,0,99,82
50,0,101,82
55,0,102,82
60,0,103,82
65,0,106,82
70,0,108,81
75,0,109,81
80,0,110,81
85,0,111,81
90,0,111,81
95,0,113,81
100,0,114,80
105,0,115,81
110,0,115,80
115,0,115,80
120,0,116,80
125,0,116,80
130,0,116,81
135,0,117,81
140,0,116,81
145,0,117,81
150,0,118,81
155,0,118,80
160,0,120,80
165,0,119,81
170,0,120,80
175,0,120,80
180,0,120,80
185,0,121,80
190,0,121,80
195,0,120,80
200,0,122,80
205,0,123,80
210,0,122,80
215,0,123,80
220,0,123,80
225,0,124,80
230,0,124,80
235,0,123,80
240,0,123,80
245,0,123,80
250,0,123,80
255,0,124,79
260,0,124,80
265,0,124,80
270,0,124,80
275,0,123,80
280,0,123,80
285,0,124,80
290,0,124,80
295,0,125,80
300,0,125,81
305,0,126,80
310,0,125,81
315,0,125,81
320,0,126,81
325,0,127,81
330,0,127,80
335,0,128,81
340,0,129,81
345,0,128,81
350,0,128,81
355,0,126,81
360,0,128,82
365,0,128,81
370,0,128,81
375,0,129,81
380,0,128,81
385,0,129,81
390,0,131,81
395,0,131,82
400,0,132,82
405,0,132,81
410,0,132,81
415,0,131,82
420,0,132,81
425,0,130,81
430,0,131,82
435,0,130,82
440,0,130,82
445,0,131,82
450,0,131,81
455,0,132,81
460,0,133,81
465,0,133,81
470,0,134,81
475,0,132,81
480,0,133,81
485,0,134,81
490,0,135,81
495,0,135,81
500,0,135,81
505,0,135,82
510,0,135,82
515,0,133,82
520,0,133,82
525,0,133,82
530,0,135,82
535,0,134,82
540,0,135,82
545,0,133,81
550,0,135,82
555,0,133,82
560,0,135,81
565,0,135,81
570,0,136,81
575,0,136,81
580,0,135,81
585,0,136,81
590,0,137,81
595,0,137,81
600,0,137,81
605,0,137,81
610,0,136,81
615,0,137,81
620,0,136,81
625,0,137,81
630,0,137,81
635,0,137,81
640,0,137,81
645,0,137,81
650,0,137,81
655,0,137,81
660,0,138,81
665,0,138,81
670,0,138,81
675,0,138,82
680,0,138,82
685,0,138,82
690,0,138,82
695,0,138,82
700,0,138,82
705,0,138,82
710,0,138,82
715,0,138,82
720,0,137,82
725,0,137,82
730,0,138,82
735,0,137,81
740,0,138,81
745,0,137,81
750,0,138,81
755,0,137,81
760,0,137,81
765,0,136,81
770,0,137,81
775,0,137,81
780,0,138,81
785,0,138,81
790,0,137,81
795,0,137,81
800,0,137,81
805,0,137,81
810,0,138,82
815,0,138,81
820,0,137,81
825,0,139,81
830,0,138,81
835,0,139,81
840,0,139,81
845,0,139,81
850,0,139,81
855,0,139,81
860,0,139,81
865,0,139,81
870,0,139,81
875,0,140,81
880,0,141,81
885,0,139,81
890,0,139,81
895,0,139,82
900,0,138,82
905,0,139,83
910,0,137,83
915,0,138,82
920,0,138,83
925,0,138,83
