time,distance,lat,lng,velocity_smooth,heartrate
0,0,-22.908194,-43.131435,0,77
5,0,-22.908194,-43.131435,0,77
6,1.3,-22.90819,-43.131447,0.217,77
7,3,-22.908182,-43.131462,0.429,77
8,4.4,-22.908176,-43.131474,0.55,77
9,6.1,-22.908169,-43.131489,0.678,77
10,7.9,-22.908161,-43.131504,1.58,77
11,9.7,-22.908154,-43.131519,1.68,77
12,11.1,-22.908146,-43.131531,1.62,77
13,12.9,-22.908138,-43.131546,1.7,77
14,14.7,-22.908131,-43.131561,1.72,77
15,16.1,-22.908123,-43.131573,1.64,78
16,17.9,-22.908115,-43.131588,1.64,78
17,20,-22.908108,-43.131607,1.78,78
18,21.7,-22.908102,-43.131622,1.76,78
19,24.2,-22.908096,-43.131645,1.9,78
20,26.2,-22.908091,-43.131664,2.02,81
21,28.3,-22.908085,-43.131683,2.08,81
22,30.7,-22.908079,-43.131706,2.14,81
23,32.8,-22.908073,-43.131725,2.22,81
24,34.5,-22.908066,-43.131741,2.06,81
25,36.8,-22.908056,-43.13176,2.12,87
26,38.5,-22.908049,-43.131775,2.04,87
27,40.4,-22.908039,-43.13179,1.94,87
28,42.3,-22.90803,-43.131805,1.9,87
29,44.2,-22.90802,-43.131821,1.94,87
30,46.4,-22.90801,-43.13184,1.92,91
31,48.2,-22.908003,-43.131855,1.94,91
32,50.4,-22.907993,-43.131874,2,91
33,52.2,-22.907986,-43.131889,1.98,91
34,54.3,-22.907978,-43.131908,2.02,91
35,56.1,-22.90797,-43.131924,1.94,92
36,58.3,-22.907963,-43.131943,2.02,92
37,59.9,-22.907957,-43.131958,1.9,92
38,62.1,-22.907949,-43.131977,1.98,92
39,63.8,-22.907942,-43.131992,1.9,92
40,66,-22.907934,-43.132011,1.98,92
41,67.8,-22.907927,-43.132027,1.9,92
42,69.5,-22.907919,-43.132042,1.92,92
43,71.4,-22.907909,-43.132057,1.86,92
44,73.3,-22.9079,-43.132072,1.9,92
45,75.1,-22.907892,-43.132088,1.82,93
46,77,-22.907883000000002,-43.132103,1.84,93
47,78.9,-22.907873,-43.132118,1.88,93
48,80.6,-22.907866,-43.132133,1.84,93
49,82.5,-22.907856,-43.132149,1.84,93
50,84.8,-22.907846,-43.132168,1.94,93
51,86.6,-22.907837,-43.132183,1.92,93
52,88.8,-22.907829,-43.132202,1.98,93
53,90.7,-22.90782,-43.132217,2.02,93
54,92.6,-22.90781,-43.132233,2.02,93
55,94,-22.907803,-43.132244,1.84,95
56,95.6,-22.907793,-43.132255,1.8,95
57,97.3,-22.907785,-43.132271,1.7,95
58,98.8,-22.907778,-43.132282,1.62,95
59,100.6,-22.90777,-43.132297,1.6,95
60,102.4,-22.907762,-43.132313,1.68,96
61,104.1,-22.907755,-43.132328,1.7,96
62,105.9,-22.907747,-43.132343,1.72,96
63,108,-22.90774,-43.132362,1.84,96
64,109.8,-22.907732,-43.132378,1.84,96
65,112.1,-22.907722,-43.132397,1.94,99
66,113.9,-22.907713,-43.132412,1.96,99
67,115.8,-22.907703,-43.132427,1.98,99
68,117.7,-22.907694,-43.132442,1.94,99
69,119.7,-22.907682,-43.132458,1.98,99
70,121.7,-22.907671,-43.132473,1.92,100
71,123.6,-22.907661,-43.132488,1.94,100
72,125.7,-22.90765,-43.132504,1.98,100
73,127.5,-22.90764,-43.132519,1.96,100
74,129.6,-22.907629,-43.132534,1.98,100
75,131.8,-22.907619,-43.132553,2.02,103
76,134,-22.90761,-43.132572,2.08,103
77,136.3,-22.907598,-43.132591,2.12,103
78,138.6,-22.907589,-43.13261,2.22,103
79,140.9,-22.907578,-43.132629,2.26,103
80,143.1,-22.907568,-43.132648,2.26,101
81,145.4,-22.907556,-43.132668,2.28,101
82,147.7,-22.907547,-43.132687,2.28,101
83,150,-22.907536,-43.132706,2.28,101
84,152.2,-22.907526,-43.132725,2.26,101
85,154.1,-22.907516,-43.13274,2.2,99
86,156.4,-22.907505,-43.132759,2.2,99
87,158.3,-22.907495,-43.132774,2.12,99
88,160.6,-22.907484,-43.132793,2.12,99
89,162.7,-22.907473,-43.132809,2.1,99
90,164.8,-22.907459,-43.132824,2.14,100
91,167.2,-22.907448,-43.132843,2.16,100
92,169.3,-22.907434,-43.132858,2.2,100
93,171.4,-22.907419,-43.13287,2.16,100
94,173.7,-22.907404,-43.132885,2.2,100
