time,distance,velocity_smooth,heartrate,cadence
0,0,0,81,0
5,0,0,81,0
10,0,0,85,0
15,0,0,99,0
20,0,0,98,0
25,0,0,99,63
30,0,0,102,69
35,0,0,101,75
40,0,0,99,79
41,38,0,99,79
45,38,7.6,94,79
50,38,0,90,82
55,38,0,87,84
60,38,0,85,83
65,38,0,87,86
70,38,0,85,86
75,38,0,85,85
80,38,0,89,85
85,38,0,93,85
90,38,0,97,86
95,38,0,97,85
100,38,0,104,69
101,196,0,104,69
105,196,0,106,69
110,196,0,107,76
115,196,0,108,85
120,196,0,109,88
125,196,0,111,88
130,196,0,110,90
135,196,0,112,91
140,196,0,114,91
145,196,0,116,90
150,196,0,117,91
155,196,0,118,90
160,196,0,120,90
161,355,0,120,90
165,355,0,121,91
170,355,0,121,90
175,355,0,123,91
180,355,0,123,91
185,355,0,123,90
190,355,0,124,91
195,355,0,125,90
200,355,0,125,90
205,355,0,127,90
210,355,0,125,89
215,355,0,126,90
220,355,0,127,90
221,499,0,127,90
225,499,0,126,90
230,499,0,127,89
235,499,0,128,89
240,499,0,127,88
245,499,0,127,90
250,499,0,128,89
255,499,0,128,89
260,499,0,127,89
265,499,0,128,90
270,499,0,129,90
275,499,0,128,89
280,499,0,128,89
281,643,0,128,89
285,643,0,127,90
290,643,0,129,90
295,643,0,127,90
300,643,0,128,89
305,643,0,129,89
310,643,0,130,89
315,643,0,132,89
320,643,0,133,88
325,643,0,133,89
330,643,0,135,89
335,643,0,136,89
340,643,0,137,88
341,797,0,137,88
345,797,0,139,90
350,797,0,139,91
355,797,0,139,90
360,797,0,139,90
365,797,0,139,91
370,797,0,140,90
375,797,0,139,90
380,797,0,140,91
385,797,0,138,91
390,797,0,139,91
395,797,0,138,91
400,797,0,139,91
401,959,0,139,91
405,959,0,140,91
410,959,0,139,91
415,959,0,142,91
420,959,0,142,90
425,959,0,143,91
430,959,0,145,90
435,959,0,143,90
440,959,0,144,90
445,959,0,144,89
450,959,0,145,89
455,959,0,145,90
460,959,0,141,90
461,1114,0,141,90
465,1114,0,143,89
470,1114,0,141,89
475,1114,0,140,90
480,1114,0,143,90
485,1114,0,142,90
490,1114,0,143,90
495,1114,0,143,90
500,1114,0,144,90
505,1114,0,143,90
510,1114,0,144,90
515,1114,0,144,90
520,1114,0,144,90
521,1274,0,144,90
525,1274,0,145,91
530,1274,0,146,92
535,1274,0,149,92
540,1274,0,150,92
545,1274,0,152,88
550,1274,0,153,89
555,1274,0,152,91
560,1274,0,153,91
565,1274,0,153,92
570,1274,0,154,91
575,1274,0,153,90
580,1274,0,155,91
581,1446,0,155,91
585,1446,0,155,91
590,1446,0,156,90
595,1446,0,157,90
600,1446,0,158,91
605,1446,0,158,90
610,1446,0,157,89
615,1446,0,154,89
620,1446,0,153,89
625,1446,0,153,88
630,1446,0,152,88
635,1446,0,152,87
640,1446,0,151,87
641,1595,0,151,87
645,1595,0,149,87
650,1595,0,147,86
655,1595,0,146,86
660,1595,0,146,86
665,1595,0,146,87
670,1595,0,145,87
675,1595,0,145,86
680,1595,0,144,87
686,1595,0,144,86
691,1595,0,144,86
696,1595,0,145,87
701,1730,0,146,87
706,1730,13.5,145,87
711,1730,0,144,86
716,1730,0,144,87
721,1730,0,143,87
726,1730,0,142,87
731,1730,0,141,87
736,1730,0,142,87
741,1730,0,142,84
746,1730,0,142,77
751,1730,0,143,82
756,1730,0,143,88
761,1877,0,143,85
766,1877,14.7,144,86
771,1877,0,144,87
776,1877,0,143,87
781,1877,0,142,87
786,1877,0,143,87
791,1877,0,143,87
796,1877,0,142,85
801,1877,0,142,79
806,1877,0,142,88
811,1877,0,141,88
816,1877,0,143,85
821,2021,0,144,86
826,2021,14.4,144,85
831,2021,0,144,86
836,2021,0,144,85
841,2021,0,143,86
846,2021,0,143,86
851,2021,0,143,86
856,2021,0,142,86
861,2021,0,142,85
866,2021,0,143,86
871,2021,0,141,85
876,2021,0,141,85
881,2150,0,140,85
886,2150,12.9,139,85
891,2150,0,138,84
896,2150,0,137,84
901,2150,0,137,84
906,2150,0,137,84
911,2150,0,136,84
916,2150,0,136,84
921,2150,0,134,83
926,2150,0,132,83
931,2150,0,131,81
936,2150,0,130,82
941,2150,0,130,82
946,2150,0,129,82
951,2150,0,128,81
956,2150,0,128,78
961,2150,0,127,77
966,2150,0,126,76
971,2150,0,126,73
976,2150,0,124,72
981,2150,0,122,71
