time,velocity_smooth,heartrate,cadence
0,0,99,82
5,0,99,82
10,0,114,88
15,0,113,85
20,0,114,82
25,0,114,81
30,0,116,82
35,0,116,82
40,0,117,80
45,0,116,81
50,0,119,80
55,0,118,80
60,0,118,80
65,0,119,78
70,0,120,80
75,0,119,80
80,0,119,80
85,0,120,80
90,0,119,80
95,0,121,80
100,0,121,80
105,0,120,80
110,0,120,80
115,0,121,79
120,0,121,78
125,0,122,79
130,0,122,77
135,0,122,78
140,0,123,78
145,0,123,77
150,0,123,78
155,0,123,78
160,0,123,78
165,0,123,78
170,0,123,78
175,0,123,78
180,0,123,79
185,0,123,78
190,0,122,78
195,0,124,78
200,0,123,78
205,0,123,78
210,0,123,78
215,0,123,78
220,0,125,78
225,0,126,78
230,0,126,78
235,0,127,78
240,0,127,78
245,0,127,78
250,0,128,78
255,0,129,78
260,0,130,79
265,0,131,78
270,0,131,78
275,0,130,78
280,0,131,77
285,0,130,78
290,0,129,76
295,0,131,78
300,0,131,78
305,0,131,78
310,0,132,78
315,0,132,78
320,0,132,78
325,0,133,77
330,0,133,78
335,0,132,78
340,0,132,79
345,0,133,78
350,0,132,79
355,0,131,78
360,0,130,78
365,0,129,78
370,0,129,79
375,0,131,78
380,0,130,79
385,0,131,78
390,0,132,78
395,0,131,78
400,0,132,78
405,0,131,79
410,0,131,79
415,0,133,78
420,0,132,78
425,0,133,79
430,0,134,78
435,0,134,79
440,0,133,79
445,0,132,79
450,0,132,79
455,0,132,79
460,0,131,79
465,0,131,78
470,0,131,79
475,0,132,79
480,0,132,79
485,0,133,78
490,0,133,78
495,0,132,77
500,0,133,78
505,0,133,77
510,0,135,78
515,0,134,78
520,0,134,77
525,0,133,78
530,0,132,78
535,0,130,78
540,0,130,78
545,0,131,77
550,0,130,77
555,0,132,78
560,0,131,77
565,0,132,78
570,0,131,78
575,0,131,78
580,0,130,78
585,0,130,78
590,0,130,78
595,0,130,77
600,0,131,78
605,0,130,78
610,0,131,77
615,0,132,78
620,0,132,77
625,0,132,78
630,0,132,77
635,0,133,78
640,0,133,78
645,0,134,77
650,0,133,77
655,0,133,77
660,0,133,76
665,0,134,77
670,0,135,77
675,0,135,77
680,0,133,77
685,0,134,77
690,0,133,77
695,0,134,78
700,0,133,77
705,0,134,77
710,0,134,78
715,0,133,78
720,0,132,77
725,0,133,77
730,0,133,78
735,0,134,77
740,0,135,78
745,0,135,77
750,0,135,77
755,0,135,77
760,0,136,77
765,0,137,77
770,0,136,76
775,0,135,76
780,0,135,76
785,0,135,77
790,0,135,77
795,0,136,77
800,0,135,77
805,0,134,77
810,0,135,77
815,0,135,77
820,0,135,77
825,0,136,77
830,0,135,78
835,0,136,78
840,0,135,78
845,0,135,78
850,0,134,78
855,0,135,78
860,0,135,77
865,0,136,78
870,0,135,78
875,0,134,78
880,0,135,77
885,0,135,77
890,0,135,78
895,0,135,78
900,0,136,78
905,0,136,78
910,0,135,78
915,0,136,78
920,0,136,78
925,0,136,78
930,0,136,78
935,0,136,78
940,0,136,79
945,0,136,79
950,0,136,80
955,0,136,79
960,0,135,79
965,0,135,79
970,0,135,79
975,0,136,79
980,0,136,78
985,0,135,79
990,0,135,79
995,0,135,79
1000,0,134,79
1005,0,134,79
1010,0,134,79
1015,0,135,78
1020,0,135,78
1025,0,135,79
1030,0,135,78
1035,0,135,78
1040,0,136,78
1045,0,136,79
1050,0,136,79
1055,0,136,78
1060,0,135,79
1065,0,134,78
1070,0,135,78
1075,0,136,79
1080,0,136,79
1085,0,135,78
1090,0,135,78
1095,0,136,79
1100,0,136,78
1105,0,136,78
1110,0,136,78
1115,0,136,77
1120,0,134,78
1125,0,133,78
1130,0,135,77
1135,0,135,77
1140,0,135,77
1145,0,135,77
1150,0,135,78
1155,0,134,77
1160,0,133,77
1165,0,133,77
1170,0,133,78
1175,0,133,78
1180,0,133,78
1185,0,134,77
1190,0,133,77
1195,0,134,77
1200,0,134,77
1205,0,134,78
1210,0,135,77
1215,0,135,77
1220,0,136,77
1225,0,135,77
1230,0,135,77
1235,0,135,76
1240,0,135,76
1245,0,135,76
1250,0,136,76
1255,0,135,76
1260,0,135,76
1265,0,137,77
1270,0,136,77
1275,0,135,76
1280,0,134,76
1285,0,136,77
1290,0,136,77
1295,0,135,77
1300,0,134,77
1305,0,135,77
1310,0,134,77
1315,0,135,77
1320,0,135,77
1325,0,134,78
1330,0,134,78
1335,0,136,78
1340,0,136,78
1345,0,135,78
1350,0,136,78
1355,0,136,78
1360,0,136,78
1365,0,135,78
1370,0,136,78
1375,0,135,78
1380,0,135,77
1385,0,136,77
1390,0,136,77
1395,0,136,77
1400,0,136,77
1405,0,136,77
1410,0,136,77
1415,0,136,77
1420,0,136,77
1425,0,135,76
1430,0,135,76
1435,0,134,76
1440,0,136,77
1445,0,136,77
1450,0,136,77
1455,0,136,77
