time,distance,lat,lng,velocity_smooth,heartrate,cadence
0,0,-22.492279,-41.929874,0,103,75
5,0,-22.492279,-41.929874,0,103,75
6,1.3,-22.49229,-41.929878,0.217,103,75
7,3.6,-22.49231,-41.929886,0.514,103,75
8,5.5,-22.492327,-41.92989,0.688,103,75
9,7.8,-22.492346,-41.929897,0.867,103,75
10,10,-22.492365,-41.929901,2,101,82
11,12.4,-22.492386,-41.929909,2.22,101,82
12,14.6,-22.492405,-41.929913,2.2,101,82
13,16.8,-22.492424,-41.92992,2.26,101,82
14,19,-22.492443,-41.929924,2.24,101,82
15,21.1,-22.49246,-41.929932,2.22,102,82
16,23.3,-22.492477,-41.929943,2.18,102,82
17,25.2,-22.492491,-41.929954,2.12,102,82
18,26.9,-22.492502000000002,-41.929966,2.02,102,82
19,29.1,-22.49251,-41.929985,2.02,102,82
20,30.8,-22.492516,-41.93,1.94,101,80
21,32.8,-22.492521,-41.930019,1.9,101,80
22,34.5,-22.492527,-41.930035,1.86,101,80
23,36.5,-22.492531,-41.930054,1.92,101,80
24,38.3,-22.492538,-41.930069,1.84,101,80
25,40.4,-22.492546,-41.930088,1.92,100,79
26,42.3,-22.492556,-41.930103,1.9,100,79
27,44.2,-22.492565,-41.930118,1.94,100,79
28,46.2,-22.492577,-41.930134,1.94,100,79
29,48.3,-22.492588,-41.930149,2,100,79
30,49.8,-22.492598,-41.93016,1.88,103,79
31,51.7,-22.492607,-41.930176,1.88,103,79
32,53.2,-22.492615,-41.930187,1.8,103,79
33,55.1,-22.492624,-41.930202,1.78,103,79
34,56.7,-22.492634,-41.930214,1.68,103,79
35,58.4,-22.492641,-41.930229,1.72,103,79
36,60.3,-22.492651,-41.930244,1.72,103,79
37,62.2,-22.49266,-41.93026,1.8,103,79
38,64,-22.492668,-41.930275,1.78,103,79
39,65.9,-22.492678,-41.93029,1.84,103,79
40,67.9,-22.492689,-41.930305,1.9,104,79
41,69.5,-22.492699000000002,-41.930317,1.84,104,79
42,71.2,-22.49271,-41.930328,1.8,104,79
43,73.4,-22.492723,-41.930344,1.88,104,79
44,75.1,-22.492735,-41.930355,1.84,104,79
45,76.9,-22.492746,-41.930367,1.8,104,80
46,78.4,-22.492756,-41.930378,1.78,104,80
47,80.5,-22.492767,-41.930393,1.86,104,80
48,82.2,-22.492779,-41.930405,1.76,104,80
49,84.1,-22.492788,-41.93042,1.8,104,80
50,85.8,-22.4928,-41.930431,1.78,104,79
51,87.4,-22.492809,-41.930443,1.8,104,79
52,89,-22.492819,-41.930454,1.7,104,79
53,91,-22.49283,-41.930469,1.76,104,79
54,92.6,-22.49284,-41.930481,1.7,104,79
55,94.2,-22.492849,-41.930492,1.68,105,79
56,95.8,-22.492859,-41.930504,1.68,105,79
57,97.5,-22.49287,-41.930515,1.7,105,79
58,99.4,-22.49288,-41.930531,1.68,105,79
59,101,-22.492889,-41.930542,1.68,105,79
60,102.5,-22.492899,-41.930553,1.66,105,79
61,104.4,-22.492908,-41.930569,1.72,105,79
62,106.2,-22.49292,-41.93058,1.74,105,79
63,107.9,-22.492931,-41.930592,1.7,105,79
64,109.9,-22.492943,-41.930607,1.78,105,79
65,111.5,-22.492952,-41.930618,1.8,107,79
66,113.5,-22.492964,-41.930633,1.82,107,79
67,115.4,-22.492977,-41.930645,1.84,107,79
68,117.4,-22.492989,-41.93066,1.9,107,79
69,119.3,-22.493002,-41.930672,1.88,107,79
70,121.3,-22.493013,-41.930687,1.96,108,79
71,123.4,-22.493029,-41.930698,1.98,108,79
72,125.3,-22.493042,-41.93071,1.98,108,79
73,127.2,-22.493055,-41.930721,1.96,108,79
74,129.3,-22.493071,-41.930733,2,108,79
75,131.2,-22.493084,-41.930744,1.98,107,79
76,133.1,-22.493097,-41.930756,1.94,107,79
77,134.9,-22.493111,-41.930767,1.92,107,79
78,136.8,-22.493124,-41.930778,1.92,107,79
79,139,-22.493137,-41.930794,1.94,107,79
80,140.9,-22.493151,-41.930805,1.94,105,79
81,143.1,-22.493164,-41.93082,2,105,79
82,144.9,-22.493177,-41.930832,2,105,79
83,146.8,-22.493191,-41.930843,2,105,79
84,148.9,-22.493202,-41.930859,1.98,105,79
85,150.8,-22.493216,-41.93087,1.98,106,79
86,152.9,-22.493229,-41.930885,1.96,106,79
87,154.9,-22.49324,-41.930901,2,106,79
88,156.7,-22.493252,-41.930912,1.98,106,79
89,158.8,-22.493265,-41.930927,1.98,106,79
90,161,-22.493278,-41.930943,2.04,104,78
91,162.7,-22.49329,-41.930954,1.96,104,78
92,164.9,-22.493303,-41.930969,2,104,78
93,166.8,-22.493317,-41.930981,2.02,104,78
94,168.7,-22.49333,-41.930992,1.98,104,78
95,170.6,-22.493343,-41.931004,1.92,104,79
96,172.4,-22.493357,-41.931015,1.94,104,79
97,174.3,-22.49337,-41.931026,1.88,104,79
98,176.4,-22.493381,-41.931042,1.92,104,79
99,177.9,-22.493391,-41.931053,1.84,104,79
100,179.7,-22.493402,-41.931065,1.82,106,78
101,181.1,-22.49341,-41.931076,1.74,106,78
102,183,-22.49342,-41.931091,1.74,106,78
103,184.6,-22.493429,-41.931103,1.64,106,78
104,186.4,-22.493437,-41.931118,1.7,106,78
105,188.1,-22.493448,-41.931129,1.68,106,79
106,190,-22.493458,-41.931145,1.78,106,79
107,191.7,-22.493469,-41.931156,1.74,106,79
108,193.9,-22.493483,-41.931171,1.86,106,79
109,195.8,-22.493496,-41.931183,1.88,106,79
110,197.5,-22.493507,-41.931194,1.88,107,79
111,199.7,-22.493521,-41.93121,1.94,107,79
112,201.6,-22.493534,-41.931221,1.98,107,79
113,203.5,-22.493547,-41.931232,1.92,107,79
114,205.5,-22.493559,-41.931248,1.94,107,79
115,207.2,-22.49357,-41.931259,1.94,107,79
116,209.2,-22.493582,-41.931274,1.9,107,79
117,211,-22.493589,-41.93129,1.88,107,79
118,212.8,-22.493597,-41.931305,1.86,107,79
119,214.6,-22.493605,-41.93132,1.82,107,79
120,216.3,-22.49361,-41.931335,1.82,104,79
121,217.9,-22.493614,-41.931351,1.74,104,79
122,219.6,-22.49362,-41.931366,1.72,104,79
123,220.9,-22.493626,-41.931377,1.62,104,79
124,222.3,-22.493631,-41.931389,1.54,104,79
125,223.7,-22.493639,-41.9314,1.48,106,79
126,225,-22.493649,-41.931408,1.42,106,79
127,226.4,-22.493658,-41.931416,1.36,106,79
128,227.7,-22.493669,-41.931419,1.36,106,79
129,229.2,-22.493683,-41.931423,1.38,106,79
130,230.8,-22.493696,-41.931427,1.42,105,79
131,232.5,-22.493711,-41.931423,1.5,105,79
132,234.2,-22.493727,-41.931419,1.56,105,79
133,236,-22.493742,-41.931416,1.66,105,79
134,237.7,-22.493755,-41.931408,1.7,105,79
135,239.6,-22.493769,-41.931396,1.76,107,79
136,241.3,-22.49378,-41.931385,1.76,107,79
137,243.3,-22.493792,-41.93137,1.82,107,79
138,245,-22.493803,-41.931358,1.8,107,79
139,247.2,-22.493816,-41.931343,1.9,107,79
140,248.9,-22.493828,-41.931332,1.86,108,79
141,250.7,-22.493839,-41.93132,1.88,108,79
142,252.6,-22.493853,-41.931309,1.86,108,79
143,254.3,-22.493864,-41.931297,1.86,108,79
144,256,-22.493875,-41.931286,1.76,108,79
145,258,-22.493887,-41.931271,1.82,106,79
146,259.8,-22.493898,-41.931259,1.82,106,79
147,261.5,-22.49391,-41.931248,1.78,106,79
148,263,-22.493921,-41.93124,1.74,106,79
149,264.7,-22.493935,-41.931232,1.74,106,79
150,266.4,-22.493948,-41.931225,1.68,105,79
151,267.9,-22.493961,-41.931229,1.62,105,79
152,269.4,-22.493975,-41.931232,1.58,105,79
153,271.1,-22.493988,-41.93124,1.62,105,79
154,273.3,-22.494001,-41.931255,1.72,105,79
155,275.5,-22.494011,-41.931274,1.82,105,78
156,277.4,-22.49402,-41.93129,1.9,105,78
157,279.9,-22.494028,-41.931312,2.1,105,78
158,282,-22.494034,-41.931332,2.18,105,78
159,284,-22.494039,-41.931351,2.14,105,78
160,286.4,-22.494043,-41.931374,2.18,106,78
161,288.4,-22.494047,-41.931393,2.2,106,78
162,290.4,-22.494051,-41.931412,2.1,106,78
163,292.5,-22.494059,-41.931431,2.1,106,78
164,294.3,-22.494066,-41.931446,2.06,106,78
165,296.2,-22.494076,-41.931461,1.96,105,78
166,298.2,-22.494087,-41.931477,1.96,105,78
167,300.4,-22.494101,-41.931492,2,105,78
168,302.3,-22.494114,-41.931503,1.96,105,78
169,304.6,-22.494129,-41.931519,2.06,105,78
170,306.5,-22.494142,-41.93153,2.06,107,78
171,308.6,-22.494158,-41.931541,2.08,107,78
172,310.5,-22.494171,-41.931553,2.02,107,78
173,312.5,-22.494183,-41.931568,2.04,107,78
174,314.4,-22.494196,-41.93158,1.96,107,78
175,316.3,-22.494209,-41.931591,1.96,109,77
176,318.2,-22.494223,-41.931602,1.92,109,77
177,319.9,-22.494234,-41.931614,1.88,109,77
178,321.8,-22.494247,-41.931625,1.86,109,77
179,323.5,-22.494259,-41.931637,1.82,109,77
180,325.3,-22.49427,-41.931648,1.8,109,77
181,327,-22.494282,-41.93166,1.76,109,77
182,328.6,-22.494291,-41.931671,1.74,109,77
183,330.5,-22.494301,-41.931686,1.74,109,77
184,332.4,-22.49431,-41.931702,1.78,109,77
185,334.2,-22.49432,-41.931717,1.78,109,77
186,336.1,-22.494329,-41.931732,1.82,109,77
187,338.3,-22.494337,-41.931751,1.94,109,77
188,340.3,-22.494343,-41.93177,1.96,109,77
189,342.4,-22.494349,-41.931789,2,109,77
190,344.5,-22.494354,-41.931808,2.06,107,77
191,346.5,-22.494358,-41.931827,2.08,107,77
192,348.5,-22.494364,-41.931847,2.04,107,77
193,350.5,-22.494368,-41.931866,2.04,107,77
194,352.5,-22.494371,-41.931885,2.02,107,77
195,354.1,-22.494375,-41.9319,1.92,109,78
196,356.1,-22.494379,-41.931919,1.92,109,78
197,358.1,-22.494381,-41.931938,1.92,109,78
198,359.8,-22.494385,-41.931953,1.86,109,78
199,361.7,-22.494387,-41.931972,1.84,109,78
200,363.7,-22.494389,-41.931992,1.92,108,78
201,365.3,-22.49439,-41.932007,1.84,108,78
202,367.2,-22.49439,-41.932026,1.82,108,78
203,369.2,-22.49439,-41.932045,1.88,108,78
204,370.8,-22.494389,-41.93206,1.82,108,78
205,372.7,-22.494389,-41.932079,1.8,109,77
206,374.3,-22.494387,-41.932095,1.8,109,77
207,376.3,-22.494387,-41.932114,1.82,109,77
208,377.9,-22.494385,-41.932129,1.74,109,77
209,379.8,-22.494383,-41.932148,1.8,109,77
210,381.4,-22.494381,-41.932163,1.74,107,76
211,383.4,-22.494377,-41.932182,1.82,107,76
212,385.1,-22.494371,-41.932198,1.76,107,76
213,387.2,-22.494366,-41.932217,1.86,107,76
214,389,-22.494358,-41.932232,1.84,107,76
215,391.1,-22.49435,-41.932251,1.94,107,76
216,393,-22.494341,-41.932266,1.92,107,76
217,394.8,-22.494333,-41.932281,1.94,107,76
218,396.5,-22.494327,-41.932297,1.86,107,76
219,398.1,-22.494322,-41.932312,1.82,107,76
220,399.8,-22.494318,-41.932327,1.74,108,77
221,401.4,-22.49432,-41.932342,1.68,108,77
222,402.6,-22.494324,-41.932354,1.56,108,77
223,404.4,-22.494331,-41.932369,1.58,108,77
224,406,-22.494341,-41.932381,1.58,108,77
225,407.9,-22.494354,-41.932392,1.62,108,77
226,409.8,-22.494368,-41.932403,1.68,108,77
227,411.8,-22.494383,-41.932415,1.84,108,77
228,413.9,-22.494398,-41.932426,1.9,108,77
229,415.8,-22.494411,-41.932438,1.96,108,77
230,417.6,-22.494427,-41.932445,1.94,108,77
231,419.5,-22.494442,-41.932453,1.94,108,77
232,421.6,-22.494459,-41.932461000000004,1.96,108,77
233,423.3,-22.494474,-41.932461000000004,1.88,108,77
234,425.2,-22.494491,-41.932457,1.88,108,77
235,427.3,-22.494509,-41.932449,1.94,108,77
236,429.2,-22.494522,-41.932438,1.94,108,77
237,431.2,-22.494537,-41.932426,1.92,108,77
238,433.3,-22.494549,-41.932411,2,108,77
239,435.3,-22.49456,-41.932396,2.02,108,77
240,437.3,-22.494572,-41.932381,2,108,77
241,438.9,-22.494581,-41.932369,1.94,108,77
242,440.8,-22.494591,-41.932354,1.92,108,77
243,442.7,-22.4946,-41.932339,1.88,108,77
244,444.3,-22.49461,-41.932327,1.8,108,77
245,446.1,-22.494619,-41.932312,1.76,110,77
246,448,-22.494629,-41.932297,1.82,110,77
247,450,-22.49464,-41.932281,1.84,110,77
248,451.6,-22.49465,-41.93227,1.78,110,77
249,453.5,-22.494659,-41.932255,1.84,110,77
250,455.4,-22.494669,-41.93224,1.86,109,77
251,457.2,-22.494677,-41.932224,1.84,109,77
252,459.1,-22.494686,-41.932209,1.82,109,77
253,461.2,-22.494694,-41.93219,1.92,109,77
254,463.1,-22.494703,-41.932175,1.92,109,77
255,464.7,-22.494713,-41.932163,1.86,107,77
256,466.7,-22.494724,-41.932148,1.9,107,77
257,468.6,-22.494738,-41.932137,1.9,107,77
258,470.3,-22.494751,-41.932129,1.82,107,77
259,472.2,-22.494766,-41.932121,1.82,107,77
260,473.9,-22.494781,-41.932121,1.84,108,77
261,475.6,-22.494797,-41.932121,1.78,108,77
262,477.6,-22.494814,-41.932129,1.8,108,77
263,479.4,-22.494829,-41.932133,1.82,108,77
264,481.3,-22.494842,-41.932144,1.82,108,77
265,483.1,-22.494858,-41.932152,1.84,108,77
266,484.8,-22.494871,-41.932159,1.84,108,77
267,486.7,-22.494884,-41.932171,1.82,108,77
268,488.4,-22.494898,-41.932178,1.8,108,77
269,489.9,-22.494911,-41.932182,1.72,108,77
270,491.6,-22.494925,-41.93219,1.7,108,77
271,492.9,-22.494936,-41.93219,1.62,108,77
272,493.6,-22.494942000000002,-41.932186,1.38,108,77
273,494,-22.494942000000002,-41.932182,1.12,108,77
274,495,-22.494936,-41.932175,1.02,108,77
275,496.4,-22.494925,-41.932171,0.96,110,77
276,498,-22.494909,-41.932171,1.02,110,77
277,500,-22.494892,-41.932171,1.28,110,77
278,501.9,-22.494875,-41.932175,1.58,110,77
279,503.8,-22.494858,-41.932175,1.76,110,77
280,506,-22.494839,-41.932178,1.92,109,77
281,507.9,-22.494821,-41.932178,1.98,109,77
282,509.8,-22.494804,-41.932178,1.96,109,77
283,511.7,-22.494787,-41.932178,1.96,109,77
284,513.6,-22.49477,-41.932178,1.96,109,77
285,515.3,-22.494755,-41.932175,1.86,112,78
286,517,-22.49474,-41.932175,1.82,112,78
287,518.8,-22.494724,-41.932178,1.8,112,78
288,520.3,-22.494711,-41.932182,1.72,112,78
289,522,-22.494698,-41.93219,1.68,112,78
290,523.7,-22.494686,-41.932201,1.68,110,78
291,525.5,-22.494675,-41.932213,1.7,110,78
292,527.5,-22.494663,-41.932228,1.74,110,78
293,529.5,-22.494652,-41.932243,1.84,110,78
294,531.5,-22.49464,-41.932259,1.9,110,78
295,533.5,-22.494629,-41.932274,1.96,110,78
296,535.6,-22.494617,-41.932289,2.02,110,78
297,538,-22.494604,-41.932308,2.1,110,78
298,539.9,-22.494591,-41.93232,2.08,110,78
299,541.9,-22.494579,-41.932335,2.08,110,78
300,544.1,-22.494566,-41.93235,2.12,108,78
301,546.3,-22.494553,-41.932365,2.14,108,78
302,548,-22.494541,-41.932377,2,108,78
303,550,-22.49453,-41.932392,2.02,108,78
304,552,-22.494518,-41.932407,2.02,108,78
305,553.9,-22.494509,-41.932423,1.96,107,78
306,556.1,-22.494499,-41.932442,1.96,107,78
307,558.2,-22.494488,-41.932457,2.04,107,78
308,560.2,-22.494476,-41.932472,2.04,107,78
309,561.9,-22.494465,-41.932484,1.98,107,78
310,563.6,-22.494452,-41.932491,1.94,109,78
311,565.1,-22.494438,-41.932491,1.8,109,78
312,566.6,-22.494425,-41.932487,1.68,109,78
313,568.1,-22.494411,-41.932484,1.58,109,78
314,570,-22.494398,-41.932472,1.62,109,78
315,571.9,-22.494385,-41.932461000000004,1.66,110,77
316,573.7,-22.494373,-41.932449,1.72,110,77
317,575.4,-22.494362,-41.932438,1.76,110,77
318,577.4,-22.49435,-41.932423,1.86,110,77
319,579.3,-22.494341,-41.932407,1.86,110,77
320,580.6,-22.494335,-41.932396,1.74,111,77
321,582.7,-22.494329,-41.932377,1.8,111,77
322,584.3,-22.494327,-41.932362,1.78,111,77
323,586.3,-22.494329,-41.932342,1.78,111,77
324,588.3,-22.494335,-41.932323,1.8,111,77
325,590.5,-22.494343,-41.932304,1.98,110,77
326,592.7,-22.494352,-41.932285,2,110,77
