achievement_count,athlete_count,athlete.id,athlete.resource_state,average_heartrate,average_speed,comment_count,commute,display_hide_heartrate_option,distance,elapsed_time,elev_high,elev_low,end_latlng1,end_latlng2,external_id,flagged,from_accepted_tag,gear_id,has_heartrate,has_kudoed,heartrate_opt_out,id,kudos_count,manual,map.id,map.resource_state,map.summary_polyline,max_heartrate,max_speed,moving_time,name,photo_count,pr_count,private,resource_state,sport_type,start_date,start_date_local,start_latlng1,start_latlng2,timezone,total_elevation_gain,total_photo_count,trainer,type,upload_id,upload_id_str,utc_offset,visibility,workout_type,average_cadence,suffer_score
0,1,88717361,1,118.4,NA,0,FALSE,TRUE,NA,2884,NA,NA,NA,NA,2024.07.17 18.34-RUNNING.fit,FALSE,FALSE,g19821668,TRUE,FALSE,FALSE,12567212271,0,FALSE,a12567212271,2,tmugCxl`~Fq@uAaAsAMc@a@w@i@w@Qe@[k@a@qAg@y@oAuCi@aAISIa@MWYeAi@iA]k@[s@]eAKg@a@{@Wm@~@bBL`@xBdF`BjEdAfCZj@n@`Bp@lAPd@hAnB^x@nApBpAjC`@bANRVj@l@lBLl@^jA^~ARp@f@nAd@vALVr@dAn@`@bAz@d@f@nAfAb@h@lD`D`AlAlAlALTb@`@|@l@PDP?TBXHRLpCtDo@o@Ua@q@s@g@o@OGg@I[CmAs@WS_@g@{@cAYWSYkA}@Ya@{@s@o@w@a@[w@c@{@kAu@a@g@u@{A{AQ[Sc@Gw@Mi@Oe@]q@IUg@eBW{Ac@{Ay@{A_@e@a@uA{@eB[c@m@m@Ke@MY[][g@Sm@w@aBx@lAv@bBTZnA~BVXZt@,150,NA,2873,Evening Run,0,0,TRUE,2,Run,2024-07-17T21:34:18Z,2024-07-17T21:34:18Z,NA,NA,(GMT-03:00) America/Sao_Paulo,NA,0,FALSE,Run,13399106515,13399106515,-10800,only_me,0,NA,NA
6,1,88717361,1,131.1,NA,0,FALSE,TRUE,NA,2789,NA,NA,NA,NA,2024.07.20 10.39-RUNNING.fit,FALSE,FALSE,g19821668,TRUE,FALSE,FALSE,12567212308,0,FALSE,a12567212308,2,hkekCvfp_Gs@Bu@CQ@[JYPUD{@b@u@f@yA`B_@XgAfA[TiApA{@n@MDm@Be@A_@SS[[kB[_CVvALj@Db@VdANXJHLF^Fj@ITKJGLOPa@l@c@Xc@\e@JIt@[lCeCRUh@Wn@a@\MRMTI`ACZBl@AlBD~@AzBF~BC~@@p@Do@@yBA{C@oAEa@?}ACcBB_@AQBg@XYFc@TeAp@WZWRiBjBeA|@STYTa@h@_Ar@OBW@WDM?g@UKMY_Am@cED\d@fBDh@Nd@^t@^PNDx@SVMFIR]`@_@d@o@f@e@|@o@lAoA`A{@bB_AXKl@[^AZBbAAxCFlD?h@@hBCdAFDB[@aDCsB@k@AUCiF?u@EM@w@^c@JuA|@cDhDiAz@ORWR[^OLjBaCpAaAfCeC~AaAb@Od@UNCXF,162,NA,2773,Morning Run,0,2,FALSE,2,Run,2024-07-20T13:39:50Z,2024-07-20T13:39:50Z,NA,NA,(GMT-03:00) America/Sao_Paulo,NA,0,FALSE,Run,13399106576,13399106576,-10800,followers_only,0,NA,NA
3,1,88717361,1,128,NA,0,FALSE,TRUE,NA,3928,NA,NA,NA,NA,2024.08.02 10.44-RUNNING.fit,FALSE,FALSE,g19821668,TRUE,FALSE,FALSE,12567212360,0,FALSE,a12567212360,2,lsxjC|gefGAo@Do@DYTo@DQFO`@e@h@a@LQ?IYy@Ya@Uu@CWA}@COOUk@i@y@oAgAmAQ[E[Oe@?kAQ}B@QJe@@]BKZo@l@{Al@_AVaAR]b@i@xAqA|@oAr@e@^g@ROzAsBj@c@f@k@`@_@l@s@RQ\m@`@_@`@Wd@c@h@]d@e@b@WZYl@[`Bg@j@a@X]p@I^Mz@GNIPE^QLCd@@BC_@Zm@RYFgANs@\SFq@^e@Nm@\[LiDvBiA~@MPGZMRa@Xk@r@a@^OTUPORWRc@d@c@j@[Vi@n@MLUDWPKPq@t@a@Xi@x@YPSVi@`@O`@Yb@V_Ah@y@^e@|@}@bBqBr@c@bA_APWZ[Xg@`@Wf@m@^URWVS^a@HY`@m@b@a@`@i@ZSLMj@e@RIJKJERCZUXMVITE|@m@b@O`@[p@Oj@CpAYf@IFBEJ_@Ve@L_@PeAVm@Vo@Jq@f@_@Lu@^UFMLkAl@cAr@}@z@YRIXGJ_BzAoArAKPmAfAi@t@URQT_@POPy@r@QT[XWd@MN]T[\YTa@l@K`@Y^a@dAgAvBEr@IZ?VNjAJrAFXJt@DJf@`@T\LVp@x@f@f@Vd@FRFh@BhAf@xA\r@?JEJe@t@Sf@Yb@Kj@Wr@QtABI@W@qBLy@JWHMZWV]f@]DMi@aAKc@Yg@GqACQIWm@u@[U_@c@}@qAk@g@KSKc@Fu@@k@McA?o@BMV}@@WN_@Tw@f@u@Zk@^y@Tw@Zq@z@w@,143,NA,3919,Morning Run,0,1,FALSE,2,Run,2024-08-02T13:44:28Z,2024-08-02T13:44:28Z,NA,NA,(GMT-03:00) America/Sao_Paulo,NA,0,FALSE,Run,13399106596,13399106596,-10800,followers_only,0,NA,NA
1,1,88717361,1,126.8,NA,0,FALSE,TRUE,6.008,3394,NA,8,NA,NA,2024.08.08 17.19-RUNNING.fit,FALSE,FALSE,g19821668,TRUE,FALSE,FALSE,12567212440,0,FALSE,a12567212440,2,vrugC|t`~FHZpAlEn@hCVr@x@jBzAfBj@j@bBvAV\v@t@vAjAx@z@p@l@b@n@nAlAt@~@e@]Wc@oAqAW_@w@q@Y[m@i@_@_@cA_AeAq@u@cAQOc@Y{@eA[Wm@s@MSSi@Ie@i@kB[s@i@sBq@wCM[e@aAo@eAs@eBg@iAi@s@i@o@[{@c@k@a@eAe@w@a@oAo@gA_@aAOWWs@a@k@a@gBe@qAi@{@]s@Wm@]oA_@u@Qi@}AaDg@uAm@oAUk@OWzAxCh@rA|B`FN`@FVr@bB`@x@\j@b@xAXn@Ld@n@|AZh@l@|Ax@hBxA|CTXlA|BX^Xl@DLABHFNVlAnCn@hAl@lBh@rBf@xA|@~Ch@nAT^z@dAj@`@f@l@z@n@d@h@xBjBZ`@n@f@RVl@f@b@l@rAvANTVXc@_@w@aAk@k@a@g@gB}A]S{@cASSk@[WSi@w@[Yi@]W_@_A_Aa@e@i@}@c@{AKu@k@eAG]_@gAOaAY_A,174,NA,3350,Afternoon Run,0,0,FALSE,2,Run,2024-08-08T20:19:31Z,2024-08-08T20:19:31Z,NA,NA,(GMT-03:00) America/Sao_Paulo,NA,0,FALSE,Run,13399106610,13399106610,-10800,followers_only,0,NA,NA
0,1,88717361,1,113.1,NA,0,FALSE,TRUE,NA,560,NA,NA,NA,NA,2024.08.15 15.46-RUNNING.fit,FALSE,FALSE,g19821668,TRUE,FALSE,FALSE,12567189452,0,FALSE,a12567189452,2,~hugC`e`~FSSUa@IYQ_@c@k@[eAaAeB[{@KSIa@y@{A[yAy@iBu@oAYs@[mAKU,128,NA,560,Afternoon Run,0,0,FALSE,2,Run,2024-08-15T18:46:18Z,2024-08-15T18:46:18Z,NA,NA,(GMT-03:00) America/Sao_Paulo,0,0,FALSE,Run,13399082346,13399082346,-10800,followers_only,0,NA,NA
0,1,88717361,1,135.6,NA,0,FALSE,TRUE,2.01,1128,NA,8,NA,NA,2024.08.15 16.27-RUNNING.fit,FALSE,FALSE,g19821668,TRUE,FALSE,FALSE,12567189485,0,FALSE,a12567189485,2,huugCr{`~F^vA|@vCp@rA~@lAd@^b@b@~AxAj@n@n@f@~@`A`Av@j@n@f@p@`B`BJNd@d@|@l@LBT?JBd@NXR@DC?MQQI}@MQE{AcAQO_@i@eAiAW_@i@e@mAsAeA}@WYiAq@y@gA{@c@g@w@e@e@g@m@a@q@w@eCKi@U_@I],142,NA,1113,Afternoon Run,0,0,FALSE,2,Run,2024-08-15T19:27:03Z,2024-08-15T19:27:03Z,NA,NA,(GMT-03:00) America/Sao_Paulo,0,0,FALSE,Run,13399082358,13399082358,-10800,followers_only,0,NA,NA
0,1,88717361,1,116.9,NA,0,FALSE,TRUE,4.008,2219,NA,NA,NA,NA,2024.08.17 17.29-RUNNING.fit,FALSE,FALSE,g19821668,TRUE,FALSE,FALSE,12567189508,0,FALSE,a12567189508,2,vt_fCp`p|Fu@dAUTqAnBQRkDnFoCzDgBnCmA`Be@v@a@f@}AbCm@t@IHK@KAKG]Yi@[}BaBcBcAi@a@iAo@gIiFi@Y{GgE}@c@SGeEcA]EX@x@VzBf@|@\XNv@^|DfCZNjAp@~@p@vBpAr@h@v@b@bBbAl@d@`DnBbCfBPFL?JEJMr@kARUb@s@nAgB|BmD`B}Bz@sAbB}Bh@_AX_@Xe@~D_G,133,NA,2216,Afternoon Run,0,0,FALSE,2,Run,2024-08-17T20:29:07Z,2024-08-17T20:29:07Z,NA,NA,(GMT-03:00) America/Sao_Paulo,NA,0,FALSE,Run,13399082380,13399082380,-10800,followers_only,0,NA,NA
0,1,88717361,1,122.6,NA,0,FALSE,TRUE,NA,4342,NA,NA,NA,NA,2024.08.18 17.34-RUNNING.fit,FALSE,FALSE,g19821668,TRUE,FALSE,FALSE,12567189568,0,FALSE,a12567189568,2,~hugC|d`~Fi@s@Uc@Ke@i@{@i@{Aa@i@_@gAS_@Um@We@i@gBg@qAe@w@o@}Ae@_BYe@y@oBq@uAWu@i@eAd@v@HXb@x@^~@d@dAd@pA~@nBx@jBrAdDh@bB\v@l@jA~@|Bd@~@RXRf@dAjBj@jAh@x@h@fAf@x@Rd@\z@R\Zp@Tl@b@fBVr@Lj@p@fCj@bB^t@lAdBxAtA\VnAnApBfBVXbB|ANP`@n@|@x@n@|@~@p@\RRD^?DBi@@SGo@_@u@k@aBmBa@q@a@Yg@i@c@YUYs@m@i@o@{@g@}@gAq@c@yAaB]i@WYYm@[uAw@qBS{@Y{@Ik@m@wBm@}Ay@uAOg@aAqB[g@m@s@g@iAi@s@Y{@k@gAUo@a@u@]{@a@}@Oa@e@aAUy@s@cBMc@k@}@]aASc@]oAQ]c@eA_AcBi@{Aa@{@lAfCTp@~@jBTp@T^|@xBv@fBjArC\lA|@nB`A`C`AlBL^x@xAxAjC~@vAbAbCjA~BZhAPj@Hb@Pb@n@fCZbAn@~Aj@hA`ApA`@VbAbAn@d@|@bA|AnAvBtBt@dAvArAJVNPh@`@`@TNFP@a@IQI_Ao@WYe@o@YUu@_AaAcAw@s@YOcAiAcAs@s@y@cAw@u@aAc@[c@e@Q[Wk@m@eCcAmCSw@,140,NA,4331,Afternoon Run,0,0,FALSE,2,Run,2024-08-18T20:34:11Z,2024-08-18T20:34:11Z,NA,NA,(GMT-03:00) America/Sao_Paulo,NA,0,FALSE,Run,13399082388,13399082388,-10800,followers_only,0,NA,NA
0,1,88717361,1,108.8,NA,0,FALSE,TRUE,NA,578,NA,NA,NA,NA,2024.08.22 18.25-RUNNING.fit,FALSE,FALSE,g19821668,TRUE,FALSE,FALSE,12567189484,0,FALSE,a12567189484,2,vsxjC`fefG?Q@Kd@_Br@w@P[PS@MMYSk@e@aAEU@_@CSKc@KUa@q@i@a@a@_@_AuAYUO[Ec@Ak@@k@Iq@AkAVmABUL[,125,NA,572,Evening Run,0,0,FALSE,2,Run,2024-08-22T21:25:42Z,2024-08-22T21:25:42Z,NA,NA,(GMT-03:00) America/Sao_Paulo,0,0,FALSE,Run,13399082394,13399082394,-10800,followers_only,0,NA,NA
0,1,88717361,1,134.8,NA,0,FALSE,TRUE,NA,1512,NA,NA,NA,NA,2024.08.22 18.39-RUNNING.fit,FALSE,FALSE,g19821668,TRUE,FALSE,FALSE,12567189503,0,FALSE,a12567189503,2,h|xjC`pcfGf@i@d@o@n@o@FC\IPOLS^KLI\e@lAqAt@{AVUVMXWl@OLE~@{@pCeAZQ`@[VMNEtCa@N?NCN@JAJE`@ETIODYBiA`@_C`@c@LqDvAq@^m@X}A~@i@b@w@x@cAp@ETMJKPc@\GL[VIJ?FHCR_@~@}@f@q@JMl@sA\c@VQv@[VOfA}@`@Qr@Mt@Yd@KpAm@LAPHN?\IN?ZOp@Il@OLAIDm@Fu@Xs@Hc@Ni@Js@\a@XsAd@,165,NA,1486,Evening Run,0,0,TRUE,2,Run,2024-08-22T21:39:22Z,2024-08-22T21:39:22Z,NA,NA,(GMT-03:00) America/Sao_Paulo,0,0,FALSE,Run,13399082399,13399082399,-10800,only_me,0,NA,NA
